# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
plasmid	cds	31832	32317	+	LFFONA_00030		Dr family adhesin structural subunit	RefSeq:WP_021515387.1, SO:0001217, UniParc:UPI000390E7BA, UniRef:UniRef100_UPI000390E7BA, UniRef:UniRef50_A0A376ZN60, UniRef:UniRef90_A0A376ZN60
plasmid	cds	32581	32706	+	LFFONA_00031		hypothetical protein	SO:0001217, UniParc:UPI0003910848, UniRef:UniRef100_A0A376ZNT6, UniRef:UniRef50_A0A376ZNT6, UniRef:UniRef90_A0A376ZNT6
plasmid	cds	32754	33170	+	LFFONA_00032		SdiA-regulated domain protein	RefSeq:WP_021515389.1, SO:0001217, UniParc:UPI0003911CFD, UniRef:UniRef100_A0A376ZSH9, UniRef:UniRef50_A0A376ZSH9, UniRef:UniRef90_A0A376ZSH9
plasmid	cds	33348	34736	-	LFFONA_00033	ltrA	group II intron reverse transcriptase/maturase	EC:2.7.7.49, GO:0000373, GO:0003964, KEGG:K00986, RefSeq:WP_021515390.1, SO:0001217, UniParc:UPI0003914461, UniRef:UniRef100_UPI0003914461, UniRef:UniRef50_A0A1Y0NAL1, UniRef:UniRef90_Q08JP5
plasmid	cds	35294	36085	-	LFFONA_00034	araC	AraC family transcriptional regulator	SO:0001217, UniParc:UPI000390D3EE, UniRef:UniRef100_A0A836N670, UniRef:UniRef50_A0A0V9HGI6, UniRef:UniRef90_A0A0V9HGI6
plasmid	cds	36876	37376	-	LFFONA_00035	orfA	ISRSO11-transposase orfA protein	RefSeq:WP_001620901.1, SO:0001217, UniParc:UPI0002A2BACC, UniRef:UniRef100_A0A376ZN16, UniRef:UniRef50_A0A5I6QF17, UniRef:UniRef90_A0A376ZN16
plasmid	cds	37505	37804	+	LFFONA_00036	tnp	IS3 family ISEc16 transposase ORF A	IS:ISEc16, SO:0001217, UniRef:UniRef50_A0A2N5Y111
plasmid	cds	37801	38193	+	LFFONA_00037	tnpB	TnpB	SO:0001217, UniParc:UPI0002A31A19, UniRef:UniRef100_A0A376ZQ86, UniRef:UniRef50_I3VZY4, UniRef:UniRef90_Q9XCI3
plasmid	cds	38165	38656	+	LFFONA_00038		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A811AQR1, UniRef:UniRef90_A0A2X1MLW6
plasmid	cds	39119	40294	-	LFFONA_00039	senB	enterotoxin production-related protein TieB	COG:COG3391, COG:R, NCBIProtein:AAZ89288.1, RefSeq:WP_001020414.1, SO:0001217, UniParc:UPI0001F65C8E, UniRef:UniRef100_A0AAN3P0H4, UniRef:UniRef50_A0A3S4J4F6, UniRef:UniRef90_A0A0G9G3A2, VFDB:VFC0235, VFDB:VFG001827
plasmid	cds	40363	42624	-	LFFONA_00040		TonB-dependent receptor	KEGG:K16087, RefSeq:WP_021515394.1, SO:0001217, UniParc:UPI000391218E, UniRef:UniRef100_A0A836N7J0, UniRef:UniRef50_A0A656B0B9, UniRef:UniRef90_A8ACK7
plasmid	cds	42793	43569	-	LFFONA_00041	tonB	TonB C-terminal domain-containing protein	KEGG:K03832, RefSeq:WP_021515395.1, SO:0001217, UniParc:UPI0003917A8F, UniRef:UniRef100_A0A836N726, UniRef:UniRef50_A0AAE9TN89, UniRef:UniRef90_A0AAE9TN89
plasmid	cds	43577	44452	-	LFFONA_00042	chaN	Haem-binding uptake Tiki superfamily ChaN domain-containing protein	RefSeq:WP_021515396.1, SO:0001217, UniParc:UPI000390F504, UniRef:UniRef100_A0A836N7X4, UniRef:UniRef50_A0A0V9GB71, UniRef:UniRef90_A0A0V9GB71
plasmid	cds	44729	45223	+	LFFONA_00043		IS1294, transposase, truncation	SO:0001217, UniParc:UPI000390C5DB, UniRef:UniRef100_A0A836N6A4, UniRef:UniRef50_A0A376ZNL8, UniRef:UniRef90_A0A376ZNL8
plasmid	cds	45489	45764	-	LFFONA_00044		IPF_101	RefSeq:WP_021515398.1, SO:0001217, UniParc:UPI000390FA9B, UniRef:UniRef100_A0A376ZSB3, UniRef:UniRef50_Q327A7, UniRef:UniRef90_D9Z533
plasmid	cds	45764	46042	-	LFFONA_00045		Ribbon-helix-helix domain-containing protein	RefSeq:WP_021515399.1, SO:0001217, UniParc:UPI000390A478, UniRef:UniRef100_A0A836N671, UniRef:UniRef50_A0A5B9STW9, UniRef:UniRef90_E9LMC5
plasmid	cds	46596	47024	-	LFFONA_00046		Exc2 family lipoprotein	RefSeq:WP_021515400.1, SO:0001217, UniParc:UPI000390DE5A, UniRef:UniRef100_A0A836N7B3, UniRef:UniRef50_A8ART1, UniRef:UniRef90_F4T8P0
plasmid	cds	47476	48123	+	LFFONA_00047		hypothetical protein	RefSeq:WP_021515401.1, SO:0001217, UniParc:UPI000390E572, UniRef:UniRef100_A0A836N679, UniRef:UniRef50_F4T8N9, UniRef:UniRef90_F4T8N9
plasmid	cds	48348	48647	-	LFFONA_00048		Plasmid stabilization system protein, RelE/ParE family	RefSeq:WP_021515402.1, SO:0001217, UniParc:UPI000390B0E8, UniRef:UniRef100_UPI000390B0E8, UniRef:UniRef50_A0A0H5PYS0, UniRef:UniRef90_H1ZXP6
plasmid	cds	48637	48900	-	LFFONA_00049		Ribosomal protein S18	RefSeq:WP_001089474.1, SO:0001217, UniParc:UPI0001C32E15, UniRef:UniRef100_H1ZXP7, UniRef:UniRef50_A0A1I7K356, UniRef:UniRef90_I3VZY6
plasmid	oriV	49608	49966	?			origin of replication	
plasmid	cds	49970	50827	-	LFFONA_00050	repA	incFII family plasmid replication initiator RepA	GO:0006276, RefSeq:WP_021515403.1, SO:0001217, UniParc:UPI0003911A1B, UniRef:UniRef100_UPI0003911A1B, UniRef:UniRef50_P03066, UniRef:UniRef90_Q2VP19
plasmid	sorf	50820	50894	-	LFFONA_00051	repL	Positive regulator of RepFIC repA1 expression	GO:0006260, RefSeq:WP_001367777.1, SO:0001217, UniParc:UPI00025C7F8A, UniRef:UniRef100_A0A2A3WIQ2, UniRef:UniRef50_P62550, UniRef:UniRef90_P56980
plasmid	ncRNA	50912	51001	+	LFFONA_00052	copA	CopA-like RNA	RFAM:RF00042, SO:0000655
plasmid	cds	51128	51385	-	LFFONA_00053	copB	Protein CopB	RefSeq:WP_001620838.1, SO:0001217, UniParc:UPI0002A36498, UniRef:UniRef100_A0A376ZNJ8, UniRef:UniRef50_P13959, UniRef:UniRef90_B1VCC0
plasmid	cds	51687	52385	-	LFFONA_00054	aphA	acid phosphatase AphA	EC:3.1.3.2, GO:0003993, GO:0030288, RefSeq:WP_021515404.1, SO:0001217, UniParc:UPI00039116C3, UniRef:UniRef100_UPI00039116C3, UniRef:UniRef50_C5BC46, UniRef:UniRef90_A0A376ZS94
plasmid	cds	53020	53169	-	LFFONA_00055		Hok/Gef family protein	KEGG:K18922, SO:0001217, UniRef:UniRef50_UPI0020341794, UniRef:UniRef90_UPI0020341794
plasmid	ncRNA	53159	53314	-	LFFONA_00056	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
plasmid	cds	53448	53756	-	LFFONA_00057		Prophage protein	RefSeq:WP_001620832.1, SO:0001217, UniParc:UPI0002A40266, UniRef:UniRef100_A0A837AIL4, UniRef:UniRef50_D2TV76, UniRef:UniRef90_D2TV76
plasmid	cds	53753	54439	-	LFFONA_00058		DUF2726 domain-containing protein	RefSeq:WP_001620830.1, SO:0001217, UniParc:UPI0002A1D1EF, UniRef:UniRef100_A0A376ZMX2, UniRef:UniRef50_F4T8N1, UniRef:UniRef90_F4T8N1
plasmid	cds	54732	55193	-	LFFONA_00059		Uncharacterized endonuclease	EC:3.1.-.-, GO:0003676, GO:0004519, RefSeq:WP_021515406.1, SO:0001217, UniParc:UPI0003912044, UniRef:UniRef100_UPI0003912044, UniRef:UniRef50_Q99342, UniRef:UniRef90_Q7BSX4
plasmid	ncRNA	55357	55541	+	LFFONA_00060	AS-pc02	Antisense to pHK01_099	RFAM:RF02876, SO:0000644
plasmid	cds	55785	56345	-	LFFONA_00061	finO	Fertility inhibition protein	COG:COG3109, COG:T, GO:0003723, KEGG:K03607, RefSeq:WP_001620825.1, SO:0001217, UniParc:UPI0002A35FC5, UniRef:UniRef100_A0A376ZNQ5, UniRef:UniRef50_P22707, UniRef:UniRef90_O82922
plasmid	cds	56400	57146	-	LFFONA_00062	traX	conjugal transfer pilus acetylase TraX	GO:0005886, RefSeq:WP_021515407.1, SO:0001217, UniParc:UPI0003915521, UniRef:UniRef100_A0A376ZNZ6, UniRef:UniRef50_P22709, UniRef:UniRef90_P22709
plasmid	cds	57166	62436	-	LFFONA_00063	traI	conjugative transfer relaxase/helicase TraI	EC:3.6.4.12, GO:0003678, RefSeq:WP_021515408.1, SO:0001217, UniParc:UPI0003917FE8, UniRef:UniRef100_UPI0003917FE8, UniRef:UniRef50_A0A759YQ43, UniRef:UniRef90_Q6SIZ4
plasmid	ncRNA	59511	59587	+	LFFONA_00064	AS-traI	Antisense to traI	RFAM:RF02873, SO:0000644
plasmid	cds	62436	64625	-	LFFONA_00065	traD	type IV conjugative transfer system coupling protein TraD	RefSeq:WP_096988748.1, SO:0001217, UniParc:UPI000BE17935, UniRef:UniRef100_UPI000BE17935, UniRef:UniRef50_P22708, UniRef:UniRef90_A0A8S7XMC8
plasmid	cds	64676	65413	-	LFFONA_00066		Conjugative transfer protein	RefSeq:WP_021515410.1, SO:0001217, UniParc:UPI00039151C1, UniRef:UniRef100_A0A5E8IPT2, UniRef:UniRef50_G3G3T9, UniRef:UniRef90_G3G3T9
plasmid	cds	65616	66392	-	LFFONA_00067	traT	conjugal transfer complement resistance protein TraT	SO:0001217, UniParc:UPI0002A21DD9, UniRef:UniRef100_A0A5E8IQY8, UniRef:UniRef50_P13979, UniRef:UniRef90_A0A377BSW5
plasmid	cds	66379	66876	-	LFFONA_00068		Surface exclusion protein	SO:0001217, UniParc:UPI000169FA37, UniRef:UniRef100_Q2TU06, UniRef:UniRef50_Q93GM0, UniRef:UniRef90_Q2TU06
plasmid	cds	67092	68372	+	LFFONA_00069	tnp	IS21 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A763GU38, UniRef:UniRef90_A0A9X1S189
plasmid	cds	68372	68587	+	LFFONA_00070		(pseudo) IS21 family transposase	SO:0001217, UniRef:UniRef50_A0A6C8WRV8, UniRef:UniRef90_A0A6C8WRV8
plasmid	cds	68584	69339	+	LFFONA_00071	istB	IS21-like element ISEc10 family helper ATPase IstB	BlastRules:WP_001522280, GO:0005524, RefSeq:WP_000065240.1, SO:0001217, UniParc:UPI00000E54ED, UniRef:UniRef100_C8CGJ6, UniRef:UniRef50_A0A7D6DGV8, UniRef:UniRef90_A0A5X8Y4U5
plasmid	cds	69230	71452	-	LFFONA_00072	traG	conjugal transfer mating-pair stabilization protein TraG	KEGG:K12056, SO:0001217, UniRef:UniRef50_W1DLP7, UniRef:UniRef90_UPI0021C13F0D
plasmid	ncRNA	71326	71411	+	LFFONA_00073	AS-traG	Antisense to traG	RFAM:RF02874, SO:0000644
plasmid	cds	71633	73174	+	LFFONA_00074	tnp	IS21 family ISEc12 transposase	GO:0004803, IS:ISEc12, RefSeq:WP_001620815.1, SO:0001217, UniParc:UPI0002A26C58, UniRef:UniRef100_UPI0018688EAB, UniRef:UniRef50_A0AA51SAB9, UniRef:UniRef90_Q4FBH0
plasmid	cds	73189	73935	+	LFFONA_00075	istB	IS21-like element ISEc12 family helper ATPase IstB	BlastRules:WP_001514323, GO:0005524, RefSeq:WP_001016257.1, SO:0001217, UniParc:UPI000250D98B, UniRef:UniRef100_Q93SD5, UniRef:UniRef50_V5EMU4, UniRef:UniRef90_Q93SD5
plasmid	cds	74006	74716	-	LFFONA_00076	traG	TraG N-terminal Proteobacteria domain-containing protein	KEGG:K12056, SO:0001217, UniRef:UniRef50_A0A6C7H2N1, UniRef:UniRef90_A0A6C7H2N1
plasmid	cds	74713	76086	-	LFFONA_00077	traH	conjugal transfer pilus assembly protein TraH	KEGG:K12072, RefSeq:WP_001535740.1, SO:0001217, UniParc:UPI0002A1D3F7, UniRef:UniRef100_A0A0J2DVZ3, UniRef:UniRef50_Q65AG4, UniRef:UniRef90_A0A377YWJ4
plasmid	cds	76073	76468	-	LFFONA_00078	trbF	F-type conjugal transfer protein TrbF	SO:0001217, UniParc:UPI0002A41A53, UniRef:UniRef100_A0A0J2DW04, UniRef:UniRef50_P15068, UniRef:UniRef90_A0A2P9DYU2
plasmid	cds	76499	76732	-	LFFONA_00079		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001FCF0A8C
plasmid	cds	76722	77267	-	LFFONA_00080	trbB	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	RefSeq:WP_000059830.1, SO:0001217, UniParc:UPI00005EFB87, UniRef:UniRef100_C8CGR8, UniRef:UniRef50_P18035, UniRef:UniRef90_H1ZXS1
plasmid	cds	77254	77538	-	LFFONA_00081	traQ	type-F conjugative transfer system pilin chaperone TraQ	GO:0005886, RefSeq:WP_000624107.1, SO:0001217, UniParc:UPI0000D50F97, UniRef:UniRef100_C8CGR7, UniRef:UniRef50_P18033, UniRef:UniRef90_P18033
plasmid	cds	77619	77954	+	LFFONA_00082	artA	ArtA protein	RefSeq:WP_000736414.1, SO:0001217, UniParc:UPI0000D50F96, UniRef:UniRef100_G3G3T0, UniRef:UniRef50_P18032, UniRef:UniRef90_B1VCA3
plasmid	cds	77935	78276	-	LFFONA_00083	trbA	conjugal transfer protein TrbA	RefSeq:WP_000556795.1, SO:0001217, UniParc:UPI0001BE8131, UniRef:UniRef100_G3G3S9, UniRef:UniRef50_B1VCA2, UniRef:UniRef90_Q6SJ05
plasmid	cds	78290	79033	-	LFFONA_00084	traF	type-F conjugative transfer system pilin assembly protein TraF	GO:0042597, RefSeq:WP_001030385.1, SO:0001217, UniParc:UPI000176C2FD, UniRef:UniRef100_A0A2P9DUV3, UniRef:UniRef50_P14497, UniRef:UniRef90_P14497
plasmid	cds	79026	79283	-	LFFONA_00085	trbE	Conjugal transfer protein TrbE	RefSeq:WP_000864309.1, SO:0001217, UniParc:UPI0001DB90DB, UniRef:UniRef100_A0A075MBZ9, UniRef:UniRef50_Q05807, UniRef:UniRef90_A0A3P5HEZ3
plasmid	cds	79310	81160	-	LFFONA_00086	traN	type-F conjugative transfer system mating-pair stabilization protein TraN	RefSeq:WP_021515413.1, SO:0001217, UniParc:UPI000390DE20, UniRef:UniRef100_UPI000390DE20, UniRef:UniRef50_P24082, UniRef:UniRef90_A0A2X3JUC2
plasmid	cds	81157	81795	-	LFFONA_00087	trbC	type-F conjugative transfer system pilin assembly protein TrbC	GO:0042597, RefSeq:WP_021515414.1, SO:0001217, UniParc:UPI00039123EE, UniRef:UniRef100_UPI00039123EE, UniRef:UniRef50_P18473, UniRef:UniRef90_P18473
plasmid	cds	81804	82109	-	LFFONA_00088		Conjugative transfer protein	RefSeq:WP_000224418.1, SO:0001217, UniParc:UPI000176C30F, UniRef:UniRef100_G3K1J1, UniRef:UniRef50_Q08JF9, UniRef:UniRef90_Q08JF9
plasmid	cds	82139	83131	-	LFFONA_00089	traU	conjugal transfer pilus assembly protein TraU	GO:0042597, KEGG:K12060, RefSeq:WP_000830190.1, SO:0001217, UniParc:UPI0001C32D68, UniRef:UniRef100_A0A2Z5WRK6, UniRef:UniRef50_P18471, UniRef:UniRef90_P18471
plasmid	cds	83128	83760	-	LFFONA_00090	traW	type-F conjugative transfer system protein TraW	GO:0042597, KEGG:K12061, RefSeq:WP_001203728.1, SO:0001217, UniParc:UPI00000B8182, UniRef:UniRef100_I1YB33, UniRef:UniRef50_P18472, UniRef:UniRef90_P18472
plasmid	cds	83757	84143	-	LFFONA_00091	trbI	type-F conjugative transfer system protein TrbI	RefSeq:WP_000214082.1, SO:0001217, UniParc:UPI00005EFB8D, UniRef:UniRef100_D9Z587, UniRef:UniRef50_P18006, UniRef:UniRef90_A0A0M1UJ03
plasmid	cds	84140	86770	-	LFFONA_00092	traC	type IV secretion system protein TraC	GO:0005886, KEGG:K12063, RefSeq:WP_021515415.1, SO:0001217, UniParc:UPI0003918244, UniRef:UniRef100_UPI0003918244, UniRef:UniRef50_P18004, UniRef:UniRef90_P18004
plasmid	cds	86896	87243	-	LFFONA_00093	yfiC	YfiC protein	RefSeq:WP_021515416.1, SO:0001217, UniParc:UPI000390AE27, UniRef:UniRef100_UPI000390AE27, UniRef:UniRef50_B1P7S9, UniRef:UniRef90_B1P7S9
plasmid	cds	87271	87489	-	LFFONA_00094	orfH	OrfH	RefSeq:WP_001377841.1, SO:0001217, UniParc:UPI0002A43F46, UniRef:UniRef100_A0A0K3Q184, UniRef:UniRef50_O32536, UniRef:UniRef90_O32536
plasmid	cds	87567	88040	-	LFFONA_00095	yafA	Protein YafA	RefSeq:WP_021515417.1, SO:0001217, UniParc:UPI000391231A, UniRef:UniRef100_UPI000391231A, UniRef:UniRef50_A0AAP6R3P4, UniRef:UniRef90_A0AAP6R3P4
plasmid	cds	88389	88901	-	LFFONA_00096	traV	type IV conjugative transfer system lipoprotein TraV	KEGG:K12064, RefSeq:WP_001526035.1, SO:0001217, UniParc:UPI0002A44DC1, UniRef:UniRef100_A0A075MBF4, UniRef:UniRef50_C8CGQ5, UniRef:UniRef90_A0A376JWK3
plasmid	cds	88894	89403	-	LFFONA_00097		DUF4231 domain-containing protein	RefSeq:WP_001526036.1, SO:0001217, UniParc:UPI0002A1F17F, UniRef:UniRef100_A0A075MC40, UniRef:UniRef50_A0A075MC40, UniRef:UniRef90_A0A075MC40
plasmid	cds	89396	89719	-	LFFONA_00098	trbD	IncF plasmid conjugative transfer protein TrbD	RefSeq:WP_021515418.1, SO:0001217, UniParc:UPI000390D662, UniRef:UniRef100_UPI000390D662, UniRef:UniRef50_A0A3P5HC94, UniRef:UniRef90_A0A075MAI8
plasmid	cds	89706	90272	-	LFFONA_00099	traP	conjugal transfer pilus-stabilizing protein TraP	RefSeq:WP_021515419.1, SO:0001217, UniParc:UPI000390BAA1, UniRef:UniRef100_UPI000390BAA1, UniRef:UniRef50_P41068, UniRef:UniRef90_Q08JG7
plasmid	cds	90262	91713	-	LFFONA_00100	traB	F-type conjugal transfer pilus assembly protein TraB	KEGG:K12065, RefSeq:WP_021515420.1, SO:0001217, UniParc:UPI00039188A4, UniRef:UniRef100_UPI00039188A4, UniRef:UniRef50_P41067, UniRef:UniRef90_Q6SJ22
plasmid	cds	91713	92441	-	LFFONA_00101	traK	type-F conjugative transfer system secretin TraK	GO:0005886, KEGG:K12066, RefSeq:WP_001230787.1, SO:0001217, UniParc:UPI0000003DAE, UniRef:UniRef100_P41066, UniRef:UniRef50_P41066, UniRef:UniRef90_P41066
plasmid	cds	92428	92994	-	LFFONA_00102	traE	type IV conjugative transfer system protein TraE	KEGG:K12067, RefSeq:WP_000399805.1, SO:0001217, UniParc:UPI0000E2D3FC, UniRef:UniRef100_Q08JH0, UniRef:UniRef50_P08322, UniRef:UniRef90_Q08JH0
plasmid	cds	93016	93327	-	LFFONA_00103	traL	Protein TraL	RefSeq:WP_000012100.1, SO:0001217, UniParc:UPI00005EFB95, UniRef:UniRef100_C8CGP9, UniRef:UniRef90_C8CGP9
plasmid	cds	93342	93704	-	LFFONA_00104	traA	type IV conjugative transfer system pilin TraA	RefSeq:WP_001098993.1, SO:0001217, UniParc:UPI00019AFA9F, UniRef:UniRef100_A0A0J2DVX8, UniRef:UniRef50_P04737, UniRef:UniRef90_Q3YYW2
plasmid	cds	93738	93965	-	LFFONA_00105	traY	conjugal transfer relaxosome protein TraY	GO:0003677, GO:0005737, RefSeq:WP_001254388.1, SO:0001217, UniParc:UPI00001376E5, UniRef:UniRef100_P10512, UniRef:UniRef50_P10512, UniRef:UniRef90_P10512
plasmid	cds	94059	94745	-	LFFONA_00106		PAS fold domain-containing protein	RefSeq:WP_021515421.1, SO:0001217, UniParc:UPI000390F177, UniRef:UniRef100_UPI000390F177, UniRef:UniRef50_P05837, UniRef:UniRef90_A0A2S1J7F6
plasmid	ncRNA	94739	94815	+	LFFONA_00107	finP	FinP	RFAM:RF00107, SO:0000655
plasmid	ncRNA-region	94740	94848	-			traJ 5' UTR	RFAM:RF00243, SO:0005836
