# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
plasmid	cds	78290	79033	-	LFFONA_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9DUV3
plasmid	cds	79026	79283	-	LFFONA_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A075MBZ9
plasmid	cds	79310	81160	-	LFFONA_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390DE20
plasmid	cds	81157	81795	-	LFFONA_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00039123EE
plasmid	cds	81804	82109	-	LFFONA_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G3K1J1
plasmid	cds	82139	83131	-	LFFONA_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2Z5WRK6
plasmid	cds	83128	83760	-	LFFONA_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_I1YB33
plasmid	cds	83757	84143	-	LFFONA_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_D9Z587
plasmid	cds	84140	86770	-	LFFONA_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003918244
plasmid	cds	86896	87243	-	LFFONA_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390AE27
plasmid	cds	87271	87489	-	LFFONA_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K3Q184
plasmid	cds	87567	88040	-	LFFONA_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000391231A
plasmid	cds	88389	88901	-	LFFONA_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A075MBF4
plasmid	cds	88894	89403	-	LFFONA_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A075MC40
plasmid	cds	89396	89719	-	LFFONA_00098	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390D662
plasmid	cds	89706	90272	-	LFFONA_00099	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390BAA1
plasmid	cds	90262	91713	-	LFFONA_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00039188A4
plasmid	cds	91713	92441	-	LFFONA_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P41066
plasmid	cds	92428	92994	-	LFFONA_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q08JH0
plasmid	cds	93016	93327	-	LFFONA_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGP9
plasmid	cds	93342	93704	-	LFFONA_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J2DVX8
plasmid	cds	93738	93965	-	LFFONA_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P10512
plasmid	cds	94059	94745	-	LFFONA_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390F177
plasmid	ncRNA	94739	94815	+	LFFONA_00107	91.3	4.4e-16	-	-	-	RFAM:RF00107
plasmid	ncRNA-region	94740	94848	-	-	118.3	4.7e-21	-	-	-	RFAM:RF00243
plasmid	cds	94939	95322	-	LFFONA_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGP6
plasmid	cds	95746	96255	+	LFFONA_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N6W7
plasmid	cds	96552	97373	-	LFFONA_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6SJ31
plasmid	cds	97483	97779	-	LFFONA_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6SJ32
plasmid	cds	98420	98668	-	LFFONA_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI002852ECC1
plasmid	cds	98668	99231	-	LFFONA_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E384888
plasmid	cds	99278	100639	-	LFFONA_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390A3E4
plasmid	cds	100691	100921	-	LFFONA_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7Z1J2L2
plasmid	ncRNA	100916	101012	+	LFFONA_00116	88.7	2.0e-14	-	-	-	RFAM:RF02875
plasmid	cds	101958	102149	-	LFFONA_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q1A2M1
plasmid	cds	102146	102568	-	LFFONA_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A7LYZ7
plasmid	cds	102615	103040	-	LFFONA_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A075ME17
plasmid	cds	103254	103502	-	LFFONA_00120	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAV1IP51
plasmid	cds	103456	104226	-	LFFONA_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI002E193FA5
plasmid	cds	104271	104705	-	LFFONA_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9E6N2
plasmid	cds	104719	104940	-	LFFONA_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9E6H6
plasmid	cds	104941	105624	-	LFFONA_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K5LPN9
plasmid	cds	106009	106935	-	LFFONA_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9E6I6
plasmid	cds	107329	107577	+	LFFONA_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q08JK5
plasmid	cds	107574	108011	+	LFFONA_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9E6G9
plasmid	cds	108011	109003	+	LFFONA_00128	613.0	1.3e-220	0.958	0.871	0.978	UniRef:UniRef90_A0A644RTI6
plasmid	cds	109048	109251	+	LFFONA_00129	137.0	3.0e-41	1.0	0.817	0.955	UniRef:UniRef90_UPI0030C80F26
plasmid	cds	109286	109678	-	LFFONA_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGM1
plasmid	cds	109683	110654	-	LFFONA_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2P9E6H3
plasmid	cds	110883	111527	+	LFFONA_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q0H055
plasmid	cds	111521	111796	+	LFFONA_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_T1NXB3
plasmid	cds	111934	112743	-	LFFONA_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390D145
plasmid	cds	112744	113049	-	LFFONA_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q0H052
plasmid	cds	113051	113269	-	LFFONA_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P62552
plasmid	cds	114461	114628	+	LFFONA_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J3V1Q5
plasmid	cds	115590	116231	+	LFFONA_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390E503
plasmid	cds	116099	116419	-	LFFONA_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376KHC5
chromosome	ncRNA	1702	1744	-	LFFONA_00140	47.6	3.1e-06	-	-	-	RFAM:RF02751
chromosome	cds	1899	2297	+	LFFONA_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3I1S765
chromosome	cds	2412	3224	+	LFFONA_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8Y5
chromosome	cds	3268	3924	-	LFFONA_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D444
chromosome	cds	4203	4892	+	LFFONA_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P31460
chromosome	cds	4889	5767	+	LFFONA_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Q0P1E0
chromosome	cds	5751	6368	+	LFFONA_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0D8VW64
chromosome	cds	6365	7513	+	LFFONA_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00033623DB
chromosome	cds	7633	8925	+	LFFONA_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6F9NME2
chromosome	cds	8886	9986	-	LFFONA_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D4AA
chromosome	cds	10087	11301	+	LFFONA_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D4AB
chromosome	cds	11305	11565	-	LFFONA_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H2Z4K7
chromosome	ncRNA-region	11877	11949	+	-	100.5	1.8e-16	-	-	-	RFAM:RF01832
chromosome	cds	11943	12356	+	LFFONA_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0C054
chromosome	cds	12468	12896	+	LFFONA_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0C058
chromosome	cds	13092	14753	+	LFFONA_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A061KJ29
chromosome	cds	14843	15709	-	LFFONA_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066TAY0
chromosome	cds	15876	17591	+	LFFONA_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D4AD
chromosome	cds	17588	19081	+	LFFONA_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002A1F5D0
chromosome	cds	19141	19488	+	LFFONA_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADM0
chromosome	cds	19478	19840	+	LFFONA_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K6AQ42
chromosome	cds	19837	20334	+	LFFONA_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066T6R1
chromosome	cds	20342	21526	-	LFFONA_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0G9FV81
chromosome	sorf	21608	21682	+	LFFONA_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0DSH6
chromosome	cds	22131	23819	+	LFFONA_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A234DPY6
chromosome	cds	23823	24113	+	LFFONA_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADF8
chromosome	cds	24186	24776	+	LFFONA_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AGA6
chromosome	cds	24776	26278	+	LFFONA_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A178R7N2
chromosome	cds	26288	27607	+	LFFONA_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0G9FTW4
chromosome	cds	27745	29136	+	LFFONA_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AGC0
chromosome	cds	29183	30949	-	LFFONA_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K6D577
chromosome	cds	31124	32458	+	LFFONA_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D4B0
chromosome	cds	32511	32963	+	LFFONA_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K5XM88
chromosome	cds	33079	33402	-	LFFONA_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A069CCD5
chromosome	cds	33386	33745	-	LFFONA_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A086VBD7
chromosome	cds	33925	35163	+	LFFONA_00174	764.0	1.3e-277	1.0	0.914	0.998	UniRef:UniRef90_A1AHK2
chromosome	cds	35204	35497	-	LFFONA_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8FBY0
chromosome	cds	35719	36537	+	LFFONA_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5I3I2
chromosome	cds	36541	37464	-	LFFONA_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001888FABB
chromosome	cds	37631	38128	-	LFFONA_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000750EDB3
chromosome	cds	38698	39735	-	LFFONA_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q1AP19
chromosome	tRNA	39788	39882	-	LFFONA_00180	142.5	-	-	-	-	-
chromosome	cds	40175	41557	+	LFFONA_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D4B4
chromosome	cds	41567	43885	+	LFFONA_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D50B
chromosome	cds	44180	45733	+	LFFONA_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C5J5A2
chromosome	cds	45760	46230	+	LFFONA_00184	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E2QH17
chromosome	cds	46248	46562	+	LFFONA_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C5J5A4
chromosome	cds	46587	47678	+	LFFONA_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C5J5A5
chromosome	cds	47690	48541	+	LFFONA_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K3DZ29
chromosome	cds	48622	49482	+	LFFONA_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000281D50C
chromosome	cds	49530	50462	+	LFFONA_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003363E6A
chromosome	cds	50443	51123	+	LFFONA_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066T6L0
chromosome	cds	51167	52876	-	LFFONA_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0V9FKV8
chromosome	cds	52997	54388	-	LFFONA_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AGM9
chromosome	cds	54668	55873	+	LFFONA_00193	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A136TF37
chromosome	cds	55907	57988	-	LFFONA_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A234H5R0
chromosome	cds	57994	58650	-	LFFONA_00195	428.0	4.5e-151	1.0	0.876	0.991	UniRef:UniRef90_P0AGJ2
chromosome	cds	58690	60798	-	LFFONA_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E2QH05
chromosome	cds	60817	61092	-	LFFONA_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A8ARN6
chromosome	cds	61147	61770	-	LFFONA_00198	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P60546
chromosome	cds	62028	63710	+	LFFONA_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7MFK8
chromosome	cds	63707	64324	-	LFFONA_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AGM2
chromosome	cds	64616	65440	-	LFFONA_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0D8VYC9
chromosome	cds	65828	65941	+	LFFONA_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB38H0S9
chromosome	cds	66038	66148	-	LFFONA_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I8LF26
chromosome	cds	66148	66435	-	LFFONA_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0F3V0P6
chromosome	cds	66695	67150	+	LFFONA_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I8LAQ2
chromosome	cds	67230	67430	+	LFFONA_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A2P5Q7
chromosome	cds	67952	68566	+	LFFONA_00207	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2X7L7V7
chromosome	cds	68586	70691	-	LFFONA_00208	1291.0	0.0	0.996	0.984	0.996	UniRef:UniRef90_A0AAN3M6I5
chromosome	cds	70691	72157	-	LFFONA_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5B9AQ21
chromosome	cds	72162	72335	-	LFFONA_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B0VC11
chromosome	cds	72938	73675	-	LFFONA_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A1ABX9
chromosome	cds	73665	73895	-	LFFONA_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5X4TCS0
chromosome	cds	74072	76423	-	LFFONA_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000D6A6B8A
chromosome	cds	76436	77038	-	LFFONA_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00025C72DF
chromosome	cds	77031	77252	-	LFFONA_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066PVR3
chromosome	cds	77249	77512	-	LFFONA_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A3UJZ7
